event_id,customer_id,abandoned_at,cart_value,items_count,device,is_returning_customer,minutes_since_abandon,hour_of_day,session_seconds,reached_payment_page,checkout_errors_logged,payment_attempts_started,true_root_cause,logged_action,logged_recovered,po_do_nothing,po_send_reminder_email,po_send_reminder_whatsapp,po_offer_bounded_discount@5,po_offer_bounded_discount@10
cart_000000,cust_000036,2026-03-20T21:07:00,14284.45,1,mobile,False,180,21,370,True,0,0,technical_friction,offer_bounded_discount@5,True,False,False,True,True,False
cart_000001,cust_000909,2026-04-09T15:39:00,4092.05,2,mobile,False,10,15,305,False,0,0,price_sensitivity,offer_bounded_discount@5,True,False,False,False,True,False
cart_000002,cust_000119,2026-04-23T13:40:00,6884.18,1,tablet,False,1440,13,430,False,0,0,high_cart_hesitation,send_reminder_whatsapp,False,False,False,False,False,False
cart_000003,cust_001219,2026-03-17T01:21:00,1076.44,3,mobile,True,30,1,285,False,0,0,price_sensitivity,offer_bounded_discount@5,True,False,False,True,True,True
cart_000004,cust_000214,2026-03-14T18:21:00,1968.99,3,mobile,True,720,18,223,True,0,0,price_sensitivity,offer_bounded_discount@10,True,False,True,False,True,True
cart_000005,cust_000475,2026-04-19T09:00:00,8037.37,1,mobile,True,10,9,593,True,2,2,technical_friction,send_reminder_whatsapp,True,True,True,True,True,True
cart_000006,cust_001104,2026-07-03T20:44:00,6495.83,6,mobile,True,180,20,560,True,3,0,technical_friction,offer_bounded_discount@10,False,False,False,False,False,False
cart_000007,cust_001354,2026-02-18T01:10:00,4800.61,2,mobile,True,10,1,821,True,0,0,high_cart_hesitation,offer_bounded_discount@5,False,False,False,True,False,False
cart_000008,cust_001166,2026-06-25T18:57:00,2347.85,5,mobile,True,30,18,147,True,1,2,technical_friction,do_nothing,False,False,True,True,True,True
cart_000009,cust_000994,2026-05-17T14:04:00,7055.71,1,mobile,False,1440,14,667,True,0,0,high_cart_hesitation,offer_bounded_discount@10,False,False,False,False,False,False
cart_000010,cust_001006,2026-03-26T21:22:00,14084.76,1,mobile,True,30,21,637,False,0,0,high_cart_hesitation,send_reminder_whatsapp,False,False,False,False,False,False
cart_000011,cust_000635,2026-05-06T19:11:00,16699.02,1,mobile,True,60,19,567,True,0,0,high_cart_hesitation,do_nothing,False,False,False,False,False,False
cart_000012,cust_001043,2026-01-14T13:38:00,13337.88,5,mobile,False,180,13,338,False,0,0,comparison_shopping,offer_bounded_discount@10,False,False,False,True,True,False
cart_000013,cust_001406,2026-03-04T10:19:00,1360.11,1,tablet,True,60,10,267,True,0,0,price_sensitivity,send_reminder_email,True,False,True,False,True,True
cart_000014,cust_000566,2026-01-04T15:36:00,9879.43,1,mobile,True,180,15,350,False,1,1,high_cart_hesitation,send_reminder_whatsapp,True,False,False,True,False,False
cart_000015,cust_000904,2026-07-20T19:56:00,1870.25,1,mobile,True,180,19,128,False,0,0,price_sensitivity,offer_bounded_discount@5,False,False,False,False,False,False
cart_000016,cust_000731,2026-01-06T02:06:00,1330.05,2,mobile,True,1440,2,396,True,2,2,technical_friction,send_reminder_whatsapp,False,False,False,False,True,False
cart_000017,cust_000523,2026-05-28T17:07:00,18028.13,3,mobile,True,1440,17,467,True,0,1,technical_friction,offer_bounded_discount@5,True,False,True,True,True,True
cart_000018,cust_001498,2026-01-26T23:04:00,728.95,1,mobile,True,1440,23,164,False,0,0,price_sensitivity,send_reminder_whatsapp,False,False,False,False,True,True
cart_000019,cust_000909,2026-03-25T11:45:00,2443.77,1,mobile,True,720,11,431,True,1,0,technical_friction,send_reminder_email,True,True,True,True,True,True
cart_000020,cust_000842,2026-02-08T13:06:00,7986.9,2,mobile,True,180,13,384,True,0,0,high_cart_hesitation,offer_bounded_discount@5,False,False,True,True,False,True
cart_000021,cust_000385,2026-07-07T19:34:00,7253.16,2,desktop,True,30,19,377,False,0,0,comparison_shopping,offer_bounded_discount@5,True,False,True,False,True,True
cart_000022,cust_000321,2026-07-13T15:29:00,641.9,2,mobile,False,60,15,491,True,2,2,technical_friction,do_nothing,False,False,False,True,False,False
cart_000023,cust_000039,2026-01-14T16:13:00,1060.75,4,mobile,True,720,16,270,True,0,0,price_sensitivity,do_nothing,True,True,True,True,True,True
cart_000024,cust_000599,2026-04-19T12:58:00,6746.79,3,mobile,True,30,12,577,True,1,2,technical_friction,do_nothing,False,False,True,True,False,False
cart_000025,cust_000492,2026-05-07T18:24:00,34028.28,1,desktop,False,180,18,833,True,0,0,high_cart_hesitation,send_reminder_email,False,False,False,True,False,True
cart_000026,cust_001151,2026-01-15T18:55:00,5966.22,4,mobile,True,60,18,357,True,1,0,technical_friction,send_reminder_email,True,False,True,True,False,False
cart_000027,cust_000986,2026-03-28T23:25:00,4738.85,1,mobile,True,10,23,235,False,0,0,price_sensitivity,send_reminder_whatsapp,False,False,False,False,True,False
cart_000028,cust_000569,2026-07-14T10:35:00,14064.62,1,mobile,False,180,10,406,False,0,0,high_cart_hesitation,send_reminder_email,False,False,False,True,False,True
cart_000029,cust_001068,2026-04-05T13:25:00,2954.07,3,tablet,False,10,13,337,False,1,1,technical_friction,send_reminder_email,True,True,True,True,True,True
cart_000030,cust_000353,2026-06-24T05:52:00,517.99,2,mobile,True,30,5,191,True,0,0,price_sensitivity,do_nothing,False,False,True,True,True,True
cart_000031,cust_000869,2026-02-18T12:42:00,2022.2,4,mobile,True,10,12,350,False,0,0,comparison_shopping,offer_bounded_discount@10,True,False,True,True,True,True
cart_000032,cust_000476,2026-02-09T05:03:00,3625.42,2,desktop,False,30,5,855,False,0,0,comparison_shopping,offer_bounded_discount@5,False,False,False,False,False,False
