customer_id,segment,tenure_months,prior_successful_payments,prior_late_payments,estimated_annual_value_inr,gross_margin_pct,repeat_purchase_probability,prior_coupon_redemptions,contacts_last_7d,hours_since_last_contact,email_consent,whatsapp_consent,sms_consent,dnd_flagged
cust_000000,consumer,1,1,0,29791.24,34.6,0.148,1,0,462.3,True,False,False,False
cust_000001,smb,55,38,3,103767.44,33.8,0.271,2,1,57.8,True,False,True,False
cust_000002,consumer,22,16,0,24347.18,49.8,0.315,1,1,104.3,True,False,False,True
cust_000003,consumer,18,13,1,39416.25,51.1,0.134,0,1,28.2,True,False,False,False
cust_000004,consumer,40,34,3,7259.98,47.7,0.334,1,1,141.8,True,True,True,False
cust_000005,consumer,13,10,0,36568.88,43.3,0.148,0,2,108.4,True,True,False,False
cust_000006,smb,56,47,7,361172.7,30.0,0.129,0,0,1956.8,True,True,True,False
cust_000007,enterprise,70,55,6,5835146.75,27.8,0.259,1,0,947.1,True,True,True,False
cust_000008,enterprise,73,56,4,5839762.16,26.2,0.214,1,0,1247.0,True,False,False,False
cust_000009,consumer,31,19,3,1269.33,53.1,0.08,0,0,2658.4,False,True,False,False
cust_000010,smb,18,11,0,68788.76,31.5,0.28,0,0,2243.8,True,True,False,False
cust_000011,consumer,33,23,2,18333.7,34.7,0.228,1,0,220.1,True,True,True,True
cust_000012,consumer,32,26,2,9901.18,46.1,0.314,0,1,135.9,True,True,False,False
cust_000013,consumer,46,34,2,2639.76,45.6,0.252,2,1,19.2,True,False,True,False
cust_000014,consumer,4,1,0,18003.66,51.3,0.318,6,2,142.7,True,False,True,False
cust_000015,consumer,24,19,3,585.14,38.5,0.094,0,1,123.0,True,False,False,False
cust_000016,consumer,3,2,0,23377.62,42.6,0.08,2,0,2890.2,True,True,False,False
cust_000017,consumer,7,3,0,37693.05,43.4,0.167,0,1,95.4,True,True,False,False
cust_000018,consumer,8,3,2,27031.76,36.1,0.202,6,3,13.2,True,True,False,False
cust_000019,smb,49,41,1,128295.21,30.8,0.298,6,1,89.3,True,True,False,False
cust_000020,smb,35,24,1,63862.89,24.1,0.159,0,1,45.1,True,False,False,False
cust_000021,consumer,17,9,3,2241.43,37.0,0.292,0,0,2175.9,True,True,False,False
cust_000022,consumer,2,2,0,33466.5,43.7,0.097,2,2,151.1,True,True,True,False
cust_000023,smb,54,51,4,390058.07,37.0,0.22,0,1,30.6,True,True,False,False
cust_000024,consumer,42,32,4,34630.53,49.9,0.324,2,0,2486.4,True,True,False,False
cust_000025,consumer,12,14,2,16239.41,35.5,0.196,0,0,2102.7,True,True,True,False
cust_000026,consumer,37,32,3,38520.11,35.2,0.199,1,0,1278.5,True,True,False,True
cust_000027,smb,70,52,4,281005.72,40.8,0.257,0,2,154.8,True,False,True,False
cust_000028,consumer,42,33,3,16631.52,38.9,0.061,1,2,103.8,True,False,True,False
cust_000029,consumer,37,34,0,24463.13,36.7,0.341,1,1,161.3,True,False,True,False
cust_000030,consumer,5,2,0,32827.73,48.3,0.176,0,0,2579.3,True,False,False,False
cust_000031,consumer,31,25,0,16286.29,32.0,0.118,3,2,131.0,True,False,False,False
cust_000032,consumer,7,0,0,18530.24,49.6,0.02,3,0,2214.0,True,False,False,False
cust_000033,smb,62,44,4,191026.51,37.0,0.224,2,0,869.9,True,False,True,False
cust_000034,smb,12,7,0,72582.14,26.6,0.273,1,0,779.1,True,False,False,False
cust_000035,smb,75,61,3,164544.79,22.1,0.467,2,2,71.0,True,True,False,False
cust_000036,consumer,27,18,0,19682.86,38.5,0.233,3,3,90.2,False,False,False,False
cust_000037,consumer,29,15,1,7678.3,35.0,0.314,0,2,47.5,False,False,False,False
cust_000038,smb,8,2,0,399964.97,29.0,0.104,3,0,257.1,True,True,False,False
cust_000039,consumer,44,29,0,10621.63,38.0,0.199,1,1,28.3,True,False,False,False
cust_000040,smb,50,45,3,170728.69,36.3,0.234,2,1,101.3,True,False,False,False
cust_000041,consumer,23,17,2,3223.79,45.5,0.189,0,0,1214.1,False,False,True,False
cust_000042,consumer,41,28,2,11168.25,49.8,0.135,0,1,139.7,True,False,True,False
cust_000043,consumer,24,21,0,13787.67,41.3,0.328,0,0,983.0,True,False,False,False
cust_000044,consumer,15,12,0,28942.95,41.2,0.153,2,0,820.5,True,True,False,False
cust_000045,consumer,27,17,0,39866.94,42.9,0.329,0,0,2219.6,True,False,False,False
cust_000046,consumer,47,42,2,19625.84,47.6,0.27,0,0,702.4,True,False,True,False
cust_000047,consumer,44,37,2,37791.54,45.2,0.229,0,0,1540.4,True,False,True,False
cust_000048,consumer,4,2,0,16327.94,30.0,0.227,0,3,20.8,True,False,False,False
cust_000049,consumer,28,26,0,36385.92,36.0,0.217,1,0,2888.3,True,False,False,False
cust_000050,consumer,15,16,0,7365.64,30.0,0.155,0,1,118.4,True,False,False,False
cust_000051,consumer,42,31,3,32254.27,33.3,0.266,0,0,598.3,True,False,False,False
cust_000052,smb,58,43,0,67254.39,35.8,0.289,0,0,1409.7,True,True,True,False
cust_000053,smb,75,59,4,243106.71,22.4,0.182,1,1,30.3,True,True,True,False
cust_000054,consumer,31,21,2,38777.68,40.7,0.252,0,0,2055.2,True,False,True,False
cust_000055,consumer,7,7,0,38822.3,38.9,0.156,1,0,1357.1,True,True,False,False
cust_000056,smb,28,20,4,121481.37,24.6,0.123,1,1,119.5,True,True,True,False
cust_000057,smb,16,12,1,195350.2,24.3,0.102,1,0,965.6,True,False,True,False
cust_000058,consumer,38,32,1,20575.52,51.7,0.293,3,0,2497.5,True,True,False,False
cust_000059,consumer,9,3,0,18138.62,41.1,0.304,0,2,146.2,False,True,False,False
cust_000060,consumer,20,17,0,29915.85,47.0,0.153,6,0,303.7,True,False,False,False
cust_000061,consumer,33,20,3,36462.45,28.4,0.319,6,0,2388.3,True,False,False,False
cust_000062,consumer,43,31,4,34444.02,38.3,0.212,0,0,1967.3,False,False,False,False
cust_000063,consumer,40,23,2,28303.69,30.7,0.308,0,0,357.1,True,False,True,False
cust_000064,consumer,11,12,0,7214.35,30.1,0.204,0,0,911.1,True,True,False,False
cust_000065,consumer,10,16,1,3417.55,53.5,0.155,6,1,77.3,True,False,False,False
cust_000066,consumer,22,14,4,23205.07,54.8,0.083,1,1,125.4,True,False,False,False
cust_000067,consumer,14,8,0,24479.07,37.5,0.122,1,1,111.1,True,False,False,False
cust_000068,consumer,28,28,3,1817.9,37.9,0.134,0,1,147.4,True,False,True,False
cust_000069,smb,63,54,5,387605.95,27.9,0.147,0,0,2311.6,True,False,False,False
cust_000070,smb,73,63,4,158994.52,37.8,0.207,1,0,2502.8,True,True,True,True
cust_000071,smb,73,60,3,144642.39,34.2,0.261,0,1,109.4,True,True,True,False
cust_000072,consumer,15,6,1,35546.74,31.7,0.172,0,1,26.8,True,True,False,False
cust_000073,enterprise,14,1,0,4234599.78,17.5,0.226,0,3,62.3,True,False,True,False
cust_000074,enterprise,122,90,4,822538.52,17.4,0.586,6,1,35.3,True,True,False,False
cust_000075,consumer,9,8,0,31651.43,44.1,0.413,6,0,2435.8,True,False,True,False
cust_000076,smb,77,67,5,143033.16,25.5,0.177,0,1,86.7,True,True,False,True
cust_000077,smb,68,53,8,134619.53,34.9,0.238,2,0,502.3,True,True,False,False
cust_000078,consumer,8,3,0,11363.13,45.1,0.28,0,0,477.7,True,False,False,False
cust_000079,smb,29,23,0,183426.58,39.8,0.343,0,1,53.2,True,True,False,False
cust_000080,consumer,5,9,1,33354.99,30.5,0.179,1,0,1123.0,True,True,False,False
cust_000081,smb,8,1,0,387991.48,34.0,0.266,0,1,38.4,True,False,True,False
cust_000082,consumer,27,23,0,33883.63,54.3,0.246,3,1,45.7,True,False,True,False
cust_000083,consumer,9,6,1,22869.68,38.8,0.244,0,1,36.9,True,True,False,False
cust_000084,smb,74,62,6,246565.03,39.7,0.297,0,0,1899.8,True,True,False,False
cust_000085,consumer,43,34,2,27300.21,41.1,0.241,0,0,221.5,True,True,True,False
cust_000086,consumer,0,3,1,20146.72,39.6,0.133,1,0,1311.8,True,False,False,False
cust_000087,consumer,27,26,1,23149.29,47.2,0.248,0,0,2443.7,True,False,False,False
cust_000088,smb,33,33,3,185557.08,30.0,0.191,2,0,1973.0,True,True,False,False
cust_000089,enterprise,43,31,3,1646732.44,16.3,0.335,2,1,30.6,True,True,False,False
cust_000090,consumer,36,24,5,25898.18,54.6,0.109,0,1,134.0,True,True,True,False
cust_000091,consumer,23,22,2,33352.02,30.1,0.064,1,0,1495.6,True,False,False,False
cust_000092,smb,26,21,1,142180.17,31.5,0.36,0,1,85.3,True,True,True,False
cust_000093,consumer,10,13,0,14873.97,52.8,0.28,1,0,1966.5,True,True,False,False
cust_000094,consumer,42,34,2,38594.2,44.3,0.166,0,1,111.6,True,False,True,False
cust_000095,consumer,21,9,2,32620.8,46.1,0.059,1,0,2008.9,True,True,False,False
cust_000096,consumer,31,26,2,8084.21,55.0,0.237,1,1,88.9,True,False,False,False
cust_000097,consumer,11,4,0,33338.13,48.8,0.149,0,0,2093.8,True,False,True,False
cust_000098,consumer,34,29,0,9947.16,54.1,0.328,1,0,2354.4,True,False,False,False
cust_000099,consumer,38,36,0,5966.74,34.8,0.176,1,0,2568.5,True,True,False,False
cust_000100,smb,20,22,0,335797.75,23.8,0.368,0,0,1247.1,True,True,True,False
cust_000101,consumer,45,29,3,26173.45,49.4,0.29,2,1,24.2,True,False,True,False
cust_000102,consumer,9,5,0,22177.77,47.6,0.17,0,0,2422.9,True,True,False,False
cust_000103,consumer,32,28,1,23214.37,47.4,0.252,0,0,724.5,True,False,False,False
cust_000104,consumer,32,20,2,22389.0,38.5,0.279,0,1,58.6,True,False,False,False
cust_000105,consumer,2,1,0,14415.81,37.1,0.04,1,3,80.9,True,True,False,False
cust_000106,consumer,12,18,1,2230.35,33.4,0.02,1,0,2309.2,True,True,False,False
cust_000107,consumer,7,4,0,32074.03,39.8,0.229,6,0,723.1,True,True,False,False
cust_000108,consumer,27,23,0,3617.62,44.3,0.244,1,0,1887.3,True,False,False,True
cust_000109,smb,47,39,1,253643.56,30.7,0.199,0,1,68.8,True,False,True,True
cust_000110,smb,58,47,2,33223.61,23.3,0.245,1,1,159.5,True,False,False,False
cust_000111,consumer,41,36,3,11508.25,53.9,0.232,1,2,20.7,True,False,True,False
cust_000112,consumer,31,27,2,8407.04,31.7,0.151,2,3,165.8,True,False,False,False
cust_000113,consumer,10,0,0,28616.46,53.0,0.082,1,0,762.7,True,False,True,False
cust_000114,consumer,35,31,2,5625.96,51.9,0.211,0,0,1809.7,True,True,True,False
cust_000115,consumer,8,1,0,35179.43,49.1,0.143,6,0,2750.0,True,True,True,False
cust_000116,consumer,45,32,2,9406.08,53.6,0.317,6,0,1950.1,True,True,False,False
cust_000117,consumer,10,9,0,26519.95,47.5,0.096,1,1,5.7,True,False,False,False
cust_000118,smb,55,47,2,254881.2,22.6,0.267,0,1,68.8,True,False,True,False
cust_000119,consumer,21,14,0,24463.08,36.4,0.106,3,3,22.8,True,False,True,False
cust_000120,consumer,15,19,0,6064.67,29.4,0.031,3,1,156.9,True,True,True,False
cust_000121,consumer,19,20,0,20146.13,30.4,0.281,0,0,336.2,True,False,False,False
cust_000122,consumer,0,4,0,33963.31,39.6,0.157,0,0,745.0,True,True,False,False
cust_000123,consumer,39,27,3,27375.75,31.2,0.204,2,0,2829.1,True,True,False,False
cust_000124,consumer,8,4,0,28686.88,49.7,0.216,3,0,1300.3,True,False,False,False
cust_000125,consumer,31,23,2,28495.22,36.1,0.144,1,3,98.5,True,False,False,True
cust_000126,consumer,41,27,1,31424.71,49.0,0.242,1,0,2555.3,True,False,True,False
cust_000127,consumer,1,0,0,17921.02,39.3,0.182,1,0,1520.5,True,False,False,False
cust_000128,consumer,42,37,2,19395.65,38.2,0.16,1,2,114.7,True,True,False,False
cust_000129,consumer,19,14,0,9382.25,54.3,0.289,0,1,53.9,True,False,False,False
cust_000130,consumer,43,31,3,21956.04,52.2,0.239,0,2,14.2,False,False,False,False
cust_000131,smb,36,26,3,374549.09,35.9,0.288,1,0,2075.5,True,False,True,False
cust_000132,smb,14,21,0,278852.95,24.7,0.27,3,0,2021.5,True,True,True,False
cust_000133,smb,75,64,4,108243.68,36.8,0.312,3,0,2545.3,True,True,False,False
cust_000134,consumer,47,37,2,38504.19,53.0,0.243,6,0,2969.5,True,False,False,False
cust_000135,consumer,12,8,0,32448.15,36.9,0.083,1,0,1143.9,True,False,True,False
cust_000136,consumer,25,25,2,33166.1,41.9,0.208,0,0,930.2,True,False,False,False
cust_000137,smb,3,4,0,119390.2,29.2,0.28,0,0,2121.0,True,False,False,False
cust_000138,consumer,18,18,0,15017.98,34.0,0.02,0,1,153.4,True,False,False,False
cust_000139,consumer,38,33,0,34988.83,30.2,0.343,0,0,372.9,True,False,False,False
cust_000140,consumer,33,25,0,17952.7,46.4,0.352,0,0,1363.2,True,False,False,False
cust_000141,consumer,16,10,0,32749.9,48.1,0.202,0,0,2983.5,False,True,False,True
cust_000142,consumer,8,3,0,30750.19,54.4,0.26,3,2,63.7,True,False,False,False
cust_000143,consumer,11,8,2,39717.45,38.6,0.293,2,1,164.4,True,False,False,False
cust_000144,consumer,29,29,1,14173.31,35.4,0.347,0,1,148.6,True,True,True,True
cust_000145,consumer,45,40,3,34952.39,34.6,0.264,1,1,130.6,True,False,True,False
cust_000146,consumer,36,27,3,24117.75,46.2,0.277,0,0,370.7,False,False,False,False
cust_000147,consumer,31,29,1,2351.92,37.3,0.183,1,1,69.2,True,True,False,False
cust_000148,consumer,45,39,3,6201.89,40.5,0.155,0,0,1124.7,True,False,False,False
cust_000149,smb,8,8,0,122015.4,35.5,0.084,0,1,122.0,True,True,False,False
cust_000150,enterprise,9,6,0,1507304.3,17.0,0.191,1,1,67.2,True,True,True,False
cust_000151,consumer,19,6,0,10831.68,41.8,0.227,6,0,2551.2,False,True,False,False
cust_000152,consumer,9,1,0,1140.69,42.9,0.171,0,0,888.0,True,False,False,False
cust_000153,consumer,46,39,3,25846.93,41.2,0.368,0,1,82.5,False,False,False,False
cust_000154,consumer,4,3,0,37834.93,46.0,0.198,1,0,1616.1,True,False,False,False
cust_000155,consumer,31,22,1,1121.4,42.4,0.252,2,0,1002.7,True,False,False,False
cust_000156,consumer,6,2,0,21213.22,34.5,0.087,0,2,77.7,True,False,True,False
cust_000157,consumer,41,38,1,30503.64,30.5,0.354,0,0,679.9,True,False,False,False
cust_000158,smb,14,12,3,360020.66,40.4,0.079,0,2,115.3,True,True,False,False
cust_000159,smb,4,0,0,385358.29,33.7,0.04,0,0,654.9,True,False,True,False
cust_000160,consumer,48,37,2,29719.93,49.3,0.28,0,0,412.9,True,False,False,False
cust_000161,consumer,40,28,1,11296.42,54.8,0.284,3,0,2103.1,True,True,False,False
cust_000162,smb,12,10,0,121829.37,29.6,0.14,0,2,75.3,True,True,True,False
