txn_id,customer_id,failed_at,payment_method,bank,amount,decline_code,retry_count,hour_of_day,day_of_month,true_root_cause,is_fraudulent,logged_action,logged_recovered,po_do_nothing,po_immediate_retry,po_delayed_retry@12,po_delayed_retry@48,po_prompt_new_payment_method
txn_000000,cust_000789,2026-02-21T16:15:00,upi,HDFC,506.36,96,0,16,11,technical_bank_side,False,immediate_retry,True,False,True,True,True,True
txn_000001,cust_000871,2026-01-12T15:59:00,card,ICICI,2761.34,33,2,15,9,expired_card,False,immediate_retry,False,False,False,False,False,False
txn_000002,cust_000255,2026-03-16T06:21:00,upi,Axis,4266.41,05,1,6,10,expired_card,False,delayed_retry@48,False,False,False,False,False,False
txn_000003,cust_000801,2026-06-20T02:32:00,card,Kotak,505.89,96,0,2,31,technical_bank_side,False,delayed_retry@48,True,False,True,True,True,False
txn_000004,cust_001456,2026-03-30T00:46:00,card,ICICI,2109.96,61,0,0,6,insufficient_funds,False,immediate_retry,False,False,False,True,False,False
txn_000005,cust_001304,2026-01-23T21:13:00,wallet,Axis,870.45,51,1,21,26,insufficient_funds,False,immediate_retry,False,False,False,True,True,True
txn_000006,cust_001364,2026-04-17T00:03:00,card,Axis,1607.28,05,1,0,2,invalid_details,False,delayed_retry@48,False,False,False,False,False,True
txn_000007,cust_001155,2026-04-09T14:34:00,card,HDFC,1806.54,05,1,14,16,invalid_details,False,do_nothing,False,False,False,False,False,False
txn_000008,cust_001257,2026-05-02T17:21:00,card,Axis,1556.19,51,3,17,7,technical_bank_side,False,delayed_retry@12,False,False,False,False,False,False
txn_000009,cust_001298,2026-02-06T04:46:00,card,Axis,107.1,12,0,4,31,invalid_details,False,immediate_retry,False,False,False,False,False,False
txn_000010,cust_001196,2026-07-12T06:42:00,card,Yes Bank,577.96,51,0,6,9,insufficient_funds,False,delayed_retry@12,True,False,False,True,False,False
txn_000011,cust_000412,2026-06-21T02:45:00,upi,ICICI,1366.27,82,1,2,17,invalid_details,False,prompt_new_payment_method,False,False,False,False,False,False
txn_000012,cust_000780,2026-06-30T22:53:00,card,Kotak,134.5,33,0,22,26,expired_card,False,delayed_retry@48,False,False,False,False,False,False
txn_000013,cust_001197,2026-01-06T08:46:00,wallet,IDFC,730.87,51,0,8,26,insufficient_funds,False,prompt_new_payment_method,False,False,True,True,True,False
txn_000014,cust_000408,2026-03-02T04:56:00,upi,Yes Bank,1063.9,05,0,4,20,technical_bank_side,False,delayed_retry@12,True,False,True,True,True,False
txn_000015,cust_000276,2026-05-15T16:27:00,upi,SBI,1185.57,05,0,16,19,insufficient_funds,False,immediate_retry,False,False,False,True,False,False
txn_000016,cust_001077,2026-02-12T11:14:00,netbanking,HDFC,1559.94,12,1,11,6,invalid_details,False,do_nothing,False,False,False,False,False,True
txn_000017,cust_000148,2026-06-02T02:09:00,wallet,Axis,3116.05,96,0,2,25,technical_bank_side,False,immediate_retry,False,False,False,False,True,False
txn_000018,cust_001210,2026-06-03T22:25:00,card,SBI,1370.67,54,0,22,19,expired_card,False,delayed_retry@48,False,False,False,False,False,False
txn_000019,cust_000898,2026-04-10T01:39:00,upi,IDFC,1953.99,14,0,1,20,invalid_details,False,delayed_retry@48,False,False,False,False,False,False
txn_000020,cust_000106,2026-02-15T11:48:00,card,SBI,862.97,05,1,11,28,expired_card,False,immediate_retry,False,False,False,False,False,False
txn_000021,cust_000887,2026-03-31T20:55:00,card,Kotak,1177.36,91,1,20,7,technical_bank_side,False,delayed_retry@12,False,False,True,False,True,False
txn_000022,cust_000470,2026-05-02T01:42:00,upi,Axis,966.73,96,1,1,9,technical_bank_side,False,do_nothing,True,True,False,True,True,False
txn_000023,cust_000815,2026-05-06T05:47:00,upi,Kotak,3264.41,12,1,5,1,invalid_details,False,do_nothing,False,False,False,False,False,True
txn_000024,cust_000850,2026-02-22T06:13:00,upi,SBI,3163.64,51,0,6,9,insufficient_funds,False,delayed_retry@48,True,False,True,True,True,False
txn_000025,cust_000146,2026-02-17T10:32:00,upi,IDFC,390.81,14,2,10,10,invalid_details,False,delayed_retry@12,False,False,False,False,False,True
txn_000026,cust_001246,2026-04-18T06:01:00,upi,HDFC,5894.71,96,1,6,18,technical_bank_side,False,do_nothing,False,False,False,True,True,False
txn_000027,cust_000099,2026-07-16T23:49:00,upi,Kotak,1073.04,34,0,23,10,fraud_suspected,True,immediate_retry,False,False,False,False,False,False
txn_000028,cust_001479,2026-02-21T15:46:00,card,HDFC,1563.87,05,0,15,9,technical_bank_side,False,immediate_retry,True,False,True,False,False,False
txn_000029,cust_001304,2026-02-19T03:55:00,netbanking,Axis,2428.31,12,2,3,7,invalid_details,False,delayed_retry@12,False,False,False,False,False,False
txn_000030,cust_001135,2026-07-20T08:31:00,card,ICICI,1343.1,82,1,8,2,invalid_details,False,do_nothing,False,False,False,False,False,False
txn_000031,cust_000631,2026-01-26T00:49:00,card,Axis,7495.97,14,2,0,31,invalid_details,False,delayed_retry@48,False,False,False,False,False,False
txn_000032,cust_000552,2026-04-16T11:28:00,upi,Axis,28023.35,12,1,11,14,invalid_details,False,prompt_new_payment_method,True,False,False,False,False,True
