invoice_id,customer_id,due_date,invoice_amount,days_overdue,prior_late_payments,dispute_flagged_in_ar,avg_days_late_last_6_invoices,purchase_order_required,purchase_order_on_invoice,invoice_revision_count,amount_variance_vs_contract_pct,acknowledged_in_portal,hour_of_day,true_root_cause,logged_action,logged_recovered,po_do_nothing,po_automated_reminder,po_automated_reminder_with_payment_plan_offer,po_escalate_to_collections
inv_000000,cust_000315,2026-04-15T00:00:00,26587.48,90,2,False,12.9,False,True,0,0.46,False,16,cash_flow_issue,do_nothing,False,False,False,False,False
inv_000001,cust_001385,2026-03-26T00:00:00,35877.99,45,1,False,24.3,False,True,0,0.15,True,18,chronic_late_payer,automated_reminder,False,False,False,False,True
inv_000002,cust_000480,2026-04-18T00:00:00,15706.01,1,1,False,1.4,True,True,0,1.02,True,14,cash_flow_issue,automated_reminder,False,False,False,True,True
inv_000003,cust_000481,2026-01-22T00:00:00,47197.99,15,3,False,6.8,True,True,0,0.67,False,13,cash_flow_issue,escalate_to_collections,True,False,True,True,True
inv_000004,cust_001222,2026-04-30T00:00:00,15075.74,15,4,False,16.3,True,True,0,1.12,True,9,chronic_late_payer,do_nothing,False,False,False,True,True
inv_000005,cust_001265,2026-04-29T00:00:00,34146.2,15,4,True,8.8,True,False,1,9.96,True,18,dispute_pending,escalate_to_collections,False,False,False,False,False
inv_000006,cust_001200,2026-05-29T00:00:00,5551.34,1,3,False,13.7,True,True,0,0.98,True,10,chronic_late_payer,automated_reminder,True,True,True,True,True
inv_000007,cust_000997,2026-07-13T00:00:00,32112.61,60,4,False,17.1,False,True,0,1.78,True,10,chronic_late_payer,escalate_to_collections,True,True,True,True,True
inv_000008,cust_000763,2026-05-14T00:00:00,5112.4,5,0,False,16.6,True,True,0,0.27,True,18,chronic_late_payer,automated_reminder,True,False,True,True,True
inv_000009,cust_000110,2026-02-06T00:00:00,8939.42,30,2,False,7.7,True,True,0,0.56,True,10,cash_flow_issue,automated_reminder_with_payment_plan_offer,True,True,True,True,True
